Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Diabetes_Friendly,Heart_Friendly,Kidney_Friendly,Liver_Friendly
Simple Syrup (1/2 oz) (70% portion),Condiment,21.0,0.0,5.6,0.0,0.0,5.6,0.0,0.0,Snack,0.0,0,1,1,1
Potato Chips (1 oz) (70% portion),Snack/Processed,112.0,1.4,10.5,7.0,0.7,0.35,119.0,0.0,Snack,0.0,1,1,1,0
Caesar Salad (with chicken) (130% portion),Meal/Protein,611.0,39.0,19.5,39.0,3.9,3.9,1157.0,97.5,Lunch,325.0,1,0,0,0
Corn Flakes (1 cup) (50% portion),Grain,50.0,1.0,12.0,0.0,0.5,1.5,100.0,0.0,Breakfast,0.0,1,1,1,1
White Wine (5 oz glass) (70% portion),Beverage,84.69999999999999,0.0699999999999999,2.66,0.0,0.0,0.98,3.5,0.0,Dinner,0.0,1,1,1,1
Beef Jerky (1 oz) (70% portion),Snack/Processed,81.19999999999999,6.58,2.17,5.04,0.35,1.75,413.0,21.0,Snack,0.0,1,0,0,1
Poached Egg (1 large) (150% portion),Protein,108.0,9.45,0.6000000000000001,7.199999999999999,0.0,0.6000000000000001,210.0,277.5,Breakfast,0.0,1,0,0,0
Hash Browns (1 cup) (130% portion),Vegetable,429.0,3.9,49.4,24.7,3.9,1.3,715.0,0.0,Breakfast,0.0,0,0,0,0
Macaroni & Cheese (1 cup) (50% portion),Meal/Pasta,175.0,5.0,20.0,8.5,1.0,2.5,375.0,20.0,Lunch,125.0,1,0,0,0
Protein Shake (Whey) (130% portion),Supplement,156.0,31.200000000000003,3.9,1.3,1.3,2.6,208.0,6.5,Snack,650.0,1,0,0,1
Polenta (grilled 1 slice) (150% portion),Meal/Grain,180.0,3.75,37.5,1.5,3.0,0.75,450.0,0.0,Dinner,0.0,0,0,0,1
Raisins (1 tbsp) (50% portion),Fruit,13.5,0.15,3.5,0.0,0.15,3.0,0.5,0.0,Dinner,0.0,1,1,1,1
Hash Browns (1 cup) (50% portion),Vegetable,165.0,1.5,19.0,9.5,1.5,0.5,275.0,0.0,Breakfast,0.0,1,0,0,0
Bulgur (1 tbsp shell) (50% portion),Grain,7.5,0.25,1.7,0.0,0.4,0.0,0.5,0.0,Snack,0.0,1,1,1,1
Gnocchi (1 cup) (150% portion),Meal/Pasta,315.0,6.75,67.5,2.25,4.5,3.0,720.0,0.0,Dinner,0.0,0,0,0,1
Mint Tea (1 cup) (50% portion),Beverage,1.0,0.05,0.25,0.0,0.0,0.0,2.5,0.0,Breakfast,120.0,1,1,1,1
Cherries (1 cup) (130% portion),Fruit,100.1,2.08,24.7,0.65,3.25,19.5,0.0,0.0,Snack,0.0,0,1,1,0
Pisco Sour (1 drink) (130% portion),Beverage,325.0,1.3,32.5,0.0,0.0,31.200000000000003,6.5,6.5,Snack,234.0,0,1,1,0
Frosting (Vanilla 2 tbsp) (130% portion),Condiment,182.0,0.0,28.6,7.800000000000001,0.0,28.6,84.5,0.0,Snack,0.0,0,1,1,0
Smoothie (Fruit & Yogurt) (50% portion),Beverage/Meal,140.0,6.0,27.5,1.5,3.5,20.0,35.0,2.5,Breakfast,125.0,0,1,1,0
Pepperoncini (2 peppers) (150% portion),Vegetable,15.0,0.75,3.0,0.0,1.5,1.5,525.0,0.0,Lunch,0.0,1,0,0,1
Tiramisu (1 slice) (70% portion),Dessert,315.0,4.9,29.4,19.6,1.4,17.5,105.0,126.0,Snack,175.0,0,0,1,0
Seaweed Salad (1/2 cup) (70% portion),Vegetable,42.0,1.4,5.6,2.1,1.4,2.8,245.0,0.0,Lunch,0.0,1,0,0,1
French Fries (medium) (150% portion),Vegetable/Processed,510.0,6.0,66.0,25.5,6.0,0.4499999999999999,345.0,0.0,Dinner,0.0,0,0,0,0
Olive Oil (1 tsp garnish) (150% portion),Condiment,60.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Olive Oil (1 tbsp drizzle) (150% portion),Condiment,180.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,Lunch,0.0,1,1,1,0
Honey (1 tsp drizzle) (130% portion),Condiment,27.3,0.0,7.54,0.0,0.0,7.54,0.0,0.0,Breakfast,0.0,0,1,1,0
Carrot (1/4 minced in sauce) (130% portion),Vegetable,13.0,0.26,3.12,0.13,0.91,1.56,22.1,0.0,Dinner,0.0,1,1,1,1
Choripan (1 sandwich) (130% portion),Meal/Processed,715.0,26.0,52.0,45.5,3.9,5.2,1430.0,104.0,Lunch,325.0,0,0,0,0
Grapes (1 cup) (70% portion),Fruit,72.8,0.77,18.9,0.1399999999999999,0.98,16.099999999999998,2.1,0.0,Snack,0.0,0,1,1,0
Milk (2%  1 cup) (50% portion),Dairy,61.0,4.0,6.0,2.5,0.0,6.0,50.0,10.0,Breakfast,0.0,0,1,1,1
Chicken Salad Sandwich (130% portion),Meal/Processed,546.0,26.0,45.5,26.0,3.9,6.5,1105.0,78.0,Lunch,325.0,0,0,0,0
Carbonara (1.5 cups) (50% portion),Meal/Pasta,325.0,12.5,30.0,17.5,2.0,2.0,450.0,125.0,Dinner,0.0,0,0,0,0
Lime Juice (1 tbsp) (50% portion),Condiment,2.0,0.05,0.65,0.0,0.05,0.1,0.0,0.0,Snack,0.0,1,1,1,1
Paella (1.5 cups seafood) (130% portion),Meal/Rice,715.0,39.0,91.0,23.4,7.800000000000001,6.5,1560.0,143.0,Dinner,0.0,0,0,0,0
Jelly (1 tbsp grape) (130% portion),Condiment,65.0,0.0,16.900000000000002,0.0,0.13,15.6,6.5,0.0,Breakfast,0.0,0,1,1,0
White Bread (1 slice) (50% portion),Grain,35.0,1.0,6.5,0.5,0.3,0.6,70.0,0.0,Breakfast,0.0,1,1,1,1
Sausage Link (1 cooked) (150% portion),Protein/Meat,127.5,7.5,1.5,10.5,0.0,0.75,450.0,30.0,Breakfast,0.0,1,0,0,0
Passion Fruit (1 fruit) (150% portion),Fruit,25.5,0.6000000000000001,6.300000000000001,0.15000000000000002,2.8499999999999996,3.0,7.5,0.0,Snack,0.0,1,1,1,1
Chicken Alfredo (1.5 cups) (70% portion) (70% portion),Meal/Pasta,333.2,17.15,22.049999999999997,18.62,1.9599999999999997,2.4499999999999997,480.2,58.8,Dinner,175.0,0,0,0,0
Chocolate Pudding (1/2 cup) (70% portion),Dessert,105.0,1.4,19.599999999999998,2.8,1.4,15.399999999999999,91.0,1.4,Snack,0.0,0,1,1,0
Bell Pepper (1 medium red) (80% portion),Vegetable,24.8,0.96,4.800000000000001,0.24,1.6800000000000002,3.3600000000000003,3.2,0.0,Lunch,0.0,1,1,1,1
Mixed Nuts (1/4 cup) (150% portion),Nut,300.0,9.0,12.0,27.0,4.5,3.0,1.5,0.0,Snack,0.0,1,1,1,0
Mayonnaise (1 tbsp for dipping) (50% portion) (150% portion),Condiment,67.5,0.07500000000000001,0.07500000000000001,7.5,0.0,0.07500000000000001,52.5,3.75,Dinner,0.0,1,1,1,1
Lentil Soup (1 can) (70% portion),Meal/Legume,161.0,10.5,24.5,2.0999999999999996,8.399999999999999,4.199999999999999,454.99999999999994,0.0,Lunch,250.0,0,0,0,1
Garlic Sauce (1 tbsp) (150% portion),Condiment,135.0,0.15000000000000002,1.5,15.0,0.0,0.75,120.0,7.5,Lunch,0.0,1,1,1,0
Mixed Nuts (1/4 cup) (120% portion),Nut,240.0,7.199999999999999,9.6,21.599999999999998,3.5999999999999996,2.4,1.2,0.0,Snack,0.0,1,1,1,0
Malva Pudding (1 slice) (80% portion),Dessert,304.0,4.0,48.0,11.200000000000001,1.6,32.0,280.0,48.0,Snack,0.0,0,0,0,0
Rice Krispies (1.5 cups) (70% portion),Grain,112.0,2.0999999999999996,25.9,0.35,0.35,2.8,203.0,0.0,Breakfast,0.0,0,0,0,1
Fried Okra (1 cup) (70% portion),Vegetable,154.0,2.8,17.5,8.399999999999999,3.5,2.0999999999999996,315.0,7.0,Dinner,0.0,1,0,0,0
Arugula (2 cups) (150% portion),Vegetable,15.0,1.5,1.2000000000000002,0.30000000000000004,0.6000000000000001,0.6000000000000001,9.0,0.0,Lunch,0.0,1,1,1,1
Iced Tea (Sweetened 16oz) (150% portion),Beverage,270.0,0.0,69.0,0.0,0.0,69.0,22.5,0.0,Snack,500.0,0,1,1,0
Italian Dressing (2 tbsp) (150% portion),Condiment,105.0,0.0,4.5,10.5,0.0,3.0,450.0,0.0,Lunch,0.0,1,0,0,0
Tzatziki Sauce (2 tbsp) (150% portion),Condiment/Dairy,45.0,2.25,3.0,3.0,0.0,2.25,150.0,7.5,Dinner,0.0,1,1,1,1
Aji Amarillo Paste (1 tsp) (70% portion) (80% portion),Condiment,2.8000000000000003,0.05599999999999992,0.5599999999999999,0.0,0.27999999999999997,0.27999999999999997,28.0,0.0,Dinner,0.0,1,1,1,1
Iced Tea (Sweetened 16oz) (130% portion) (150% portion),Beverage,351.0,0.0,89.69999999999999,0.0,0.0,89.69999999999999,29.25,0.0,Snack,650.0,0,1,1,0
Beef Tacos (2 hard shell) (120% portion),Meal/Meat,456.0,21.599999999999998,33.6,26.4,6.0,3.5999999999999996,720.0,60.0,Dinner,500.0,1,0,0,0
Fried Okra (1 cup) (50% portion) (150% portion),Vegetable,165.0,3.0,18.75,9.0,3.75,2.25,337.5,7.5,Dinner,0.0,1,0,0,1
Matcha Latte (12 oz) (70% portion),Beverage,125.99999999999999,4.199999999999999,19.599999999999998,3.5,1.4,17.5,62.99999999999999,14.0,Snack,355.0,0,0,1,0
Chicken Milanesa (1 serving) (150% portion) (70% portion),Meal/Meat,472.49999999999994,36.75,31.499999999999996,23.099999999999998,3.15,2.0999999999999996,735.0,105.0,Dinner,0.0,0,0,0,0
Bread Roll (hoagie) (70% portion),Grain,140.0,4.199999999999999,26.599999999999998,1.4,1.4,2.0999999999999996,280.0,0.0,Lunch,0.0,0,0,0,1
Angostura Bitters (dash) (150% portion),Condiment,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Oyster (1 medium raw) (80% portion),Protein/Seafood,6.4,0.8,0.4,0.16000000000000003,0.0,0.0,40.0,8.0,Dinner,0.0,1,1,1,1
Chicken Tikka Masala (1.5 cups) (70% portion) (120% portion),Meal/Meat,403.2,25.2,16.8,25.2,4.2,6.72,756.0,79.8,Dinner,175.0,0,0,0,0
Frosting (Vanilla 2 tbsp) (120% portion),Condiment,168.0,0.0,26.4,7.199999999999999,0.0,26.4,78.0,0.0,Snack,0.0,0,1,1,0
T-Bone Steak (6oz) (80% portion),Protein/Meat,368.0,30.400000000000002,0.0,26.400000000000002,0.0,0.0,88.0,84.0,Dinner,0.0,1,0,0,0
Italian Dressing (2 tbsp) (130% portion) (80% portion),Condiment,72.8,0.0,3.12,7.28,0.0,2.08,312.0,0.0,Lunch,0.0,1,0,0,0
Potato Leek Soup (1 cup) (120% portion),Meal/Vegetable,216.0,4.8,30.0,8.4,3.5999999999999996,4.8,780.0,18.0,Lunch,250.0,1,0,0,0
Beef Jerky (1 oz) (120% portion),Snack/Processed,139.2,11.28,3.7199999999999998,8.64,0.6,3.0,708.0,36.0,Snack,0.0,1,0,0,0
Goat Cheese (1 oz) (80% portion),Dairy,82.4,4.88,0.08000000000000002,6.800000000000001,0.0,0.08000000000000002,116.80000000000001,17.6,Lunch,0.0,1,0,1,0
Pico de Gallo (1/4 cup) (120% portion),Condiment,18.0,0.6,3.5999999999999996,0.0,1.2,2.4,240.0,0.0,Dinner,0.0,1,0,0,1
White Rice (1 cup cooked) (70% portion),Grain,142.79999999999998,2.94,31.15,0.27999999999999997,0.42,0.06999999999999999,1.4,0.0,Dinner,0.0,0,1,1,1
White Wine (5 oz glass) (120% portion),Beverage,145.2,0.12,4.56,0.0,0.0,1.68,6.0,0.0,Dinner,0.0,1,1,1,1
Salami (3 slices) (150% portion) (70% portion),Protein/Processed,115.49999999999999,6.3,1.0499999999999998,9.45,0.0,0.5249999999999999,525.0,31.499999999999996,Lunch,0.0,1,0,0,0
Cucumber Slices (1 cup) (50% portion) (150% portion),Vegetable,12.0,0.5249999999999999,2.7,0.07500000000000001,0.375,1.275,1.5,0.0,Snack,0.0,1,1,1,1
Berry Coulis (1 tbsp) (150% portion),Condiment,30.0,0.0,7.5,0.0,0.75,6.75,0.0,0.0,Snack,0.0,1,1,1,1
Gazpacho (1 cup) (120% portion),Meal/Soup,108.0,2.4,14.399999999999999,4.8,3.5999999999999996,8.4,720.0,0.0,Lunch,240.0,0,0,0,0
Pita Bread (1 whole wheat) (120% portion),Grain,204.0,7.199999999999999,42.0,1.7999999999999998,6.0,2.4,384.0,0.0,Snack,0.0,0,0,0,1
Basil (2 tbsp fresh) (120% portion),Condiment,1.2,0.12,0.12,0.0,0.12,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Pita Bread (1 whole wheat) (130% portion) (120% portion),Grain,265.2,9.360000000000001,54.6,2.34,7.8,3.12,499.2,0.0,Snack,0.0,0,0,0,1
Croutons (Garlic 1/4 cup) (70% portion),Grain,35.0,1.0499999999999998,4.8999999999999995,1.4,0.35,0.35,98.0,0.0,Lunch,0.0,1,0,1,1
Salami (3 slices) (70% portion) (80% portion),Protein/Processed,61.6,3.3599999999999994,0.5599999999999999,5.04,0.0,0.27999999999999997,280.0,16.8,Snack,0.0,1,0,0,1
Raisins (1 tbsp) (50% portion) (150% portion),Fruit,20.25,0.22499999999999998,5.25,0.0,0.22499999999999998,4.5,0.75,0.0,Dinner,0.0,1,1,1,1
Egg Drop Soup (1 cup) (130% portion) (120% portion),Meal/Vegetable,101.39999999999999,7.8,9.360000000000001,3.12,0.78,1.56,1216.8,78.0,Dinner,0.0,1,0,0,1
Avocado (1/2 fruit) (70% portion),Fruit,112.0,1.4,5.949999999999999,10.29,4.6899999999999995,0.48999999999999994,4.8999999999999995,0.0,Breakfast,0.0,1,1,1,0
Potato Chips (1 oz) (70% portion) (150% portion),Snack/Processed,168.0,2.0999999999999996,15.75,10.5,1.0499999999999998,0.5249999999999999,178.5,0.0,Snack,0.0,1,1,1,0
Caponata (1/2 cup) (150% portion) (120% portion),Meal/Vegetable,324.0,3.5999999999999996,27.0,25.2,9.0,16.2,720.0,0.0,Dinner,0.0,0,0,0,0
Potato Chips (1 oz) (70% portion) (80% portion),Snack/Processed,89.60000000000001,1.1199999999999999,8.4,5.6000000000000005,0.5599999999999999,0.27999999999999997,95.2,0.0,Snack,0.0,1,1,1,0
Prosciutto (1 slice wrapper) (120% portion),Protein/Meat,42.0,4.8,0.0,3.0,0.0,0.0,336.0,12.0,Dinner,0.0,1,0,0,1
Rice (1/4 cup filling) (70% portion) (120% portion),Grain,42.84,0.9239999999999999,9.324,0.08399999999999987,0.08399999999999987,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Caponata (1/2 cup) (80% portion),Meal/Vegetable,144.0,1.6,12.0,11.200000000000001,4.0,7.2,320.0,0.0,Dinner,0.0,0,0,0,0
Ginger Ale (1 can) (150% portion),Beverage,186.0,0.0,48.0,0.0,0.0,46.5,60.0,0.0,Snack,355.0,0,1,1,0
Soda (1 can Coke) (130% portion) (120% portion),Beverage,218.4,0.0,60.84,0.0,0.0,60.84,70.2,0.0,Snack,461.5,0,1,1,0
Flan (1 slice) (150% portion),Dessert,330.0,9.0,52.5,10.5,0.0,49.5,120.0,135.0,Snack,0.0,0,0,1,0
Beef Tacos (2 hard shell) (70% portion),Meal/Meat,266.0,12.6,19.599999999999998,15.399999999999999,3.5,2.0999999999999996,420.0,35.0,Dinner,500.0,1,0,0,0
Corn Nuts (1 oz) (150% portion),Snack/Processed,195.0,3.0,34.5,6.0,3.0,0.0,270.0,0.0,Snack,0.0,1,0,1,1
Mustard (1 tbsp  yellow) (130% portion) (80% portion),Condiment,10.4,0.52,1.04,0.52,0.52,0.0,166.4,0.0,Lunch,0.0,1,0,0,1
Pickled Cucumber (1/4 cup) (80% portion),Vegetable,8.0,0.4,1.6,0.0,0.8,0.8,240.0,0.0,Dinner,0.0,1,0,0,1
Lentil Soup (1 can) (120% portion),Meal/Legume,276.0,18.0,42.0,3.5999999999999996,14.399999999999999,7.199999999999999,780.0,0.0,Lunch,250.0,0,0,0,1
Chicken Tikka Masala (1.5 cups) (130% portion) (70% portion),Meal/Meat,436.79999999999995,27.299999999999997,18.2,27.299999999999997,4.55,7.279999999999999,819.0,86.44999999999999,Dinner,325.0,0,0,0,0
Saltine Crackers (5 crackers) (150% portion),Grain/Processed,90.0,1.5,15.0,2.25,0.75,0.0,210.0,0.0,Lunch,0.0,1,0,1,1
Ham (3oz deli sliced) (120% portion),Protein/Meat,132.0,19.2,2.4,4.8,0.0,1.7999999999999998,1140.0,54.0,Lunch,0.0,1,0,0,1
Bison Burger (1 patty) (120% portion),Protein/Meat,180.0,26.4,0.0,8.4,0.0,0.0,78.0,84.0,Lunch,250.0,1,0,0,0
Green Beans (1/2 cup w/ pasta) (150% portion),Vegetable,22.5,1.35,5.25,0.15000000000000002,1.9500000000000002,2.4000000000000004,4.5,0.0,Dinner,0.0,1,1,1,1
Mussels (3oz steamed) (150% portion),Protein/Seafood,219.0,30.0,9.0,6.0,0.0,0.0,465.0,72.0,Dinner,0.0,1,0,0,1
Turkey Sandwich (on wheat) (120% portion),Meal/Processed,408.0,26.4,40.8,14.399999999999999,6.0,7.199999999999999,1020.0,60.0,Lunch,500.0,0,0,0,0
Salami (3 slices) (80% portion),Protein/Processed,88.0,4.800000000000001,0.8,7.2,0.0,0.4,400.0,24.0,Snack,0.0,1,0,0,0
Black Pepper (1/2 tsp) (150% portion) (150% portion),Condiment,6.75,0.22499999999999998,1.5749999999999997,0.0,0.6749999999999998,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Mayonnaise (1 tbsp for dipping) (80% portion),Condiment,72.0,0.08000000000000002,0.08000000000000002,8.0,0.0,0.08000000000000002,56.0,4.0,Dinner,0.0,1,1,1,0
White Wine Sauce (1/4 cup) (80% portion),Condiment,64.0,0.8,3.2,4.800000000000001,0.4,1.6,240.0,4.0,Dinner,0.0,1,0,0,1
Dark Chocolate (1 oz 70%) (150% portion) (70% portion),Dessert,178.5,2.31,13.649999999999999,12.6,3.15,7.35,5.25,0.0,Snack,0.0,0,1,1,0
Marshmallow (1 large) (120% portion),Dessert,27.599999999999998,0.12,6.96,0.0,0.0,4.8,6.0,0.0,Snack,0.0,1,1,1,1
White Bread (1 slice) (70% portion),Grain,49.0,1.4,9.1,0.7,0.42,0.84,98.0,0.0,Breakfast,0.0,1,0,1,1
Gummy Bears (10 pcs) (150% portion),Snack/Dessert,150.0,3.0,33.0,0.0,0.0,22.5,15.0,0.0,Snack,0.0,0,1,1,0
Italian Dressing (2 tbsp) (130% portion) (80% portion),Condiment,72.8,0.0,3.12,7.28,0.0,2.08,312.0,0.0,Lunch,0.0,1,0,0,0
Congee (1 cup plain) (70% portion),Meal/Grain,91.0,1.75,19.599999999999998,0.7,0.7,0.35,210.0,0.0,Breakfast,0.0,1,0,0,1
Sea Salt (coarse 1/4 tsp) (70% portion),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0,Snack,0.0,1,0,0,1
Pizza (Margherita 1 slice) (120% portion),Meal/Processed,300.0,14.399999999999999,36.0,12.0,3.5999999999999996,4.8,720.0,30.0,Dinner,250.0,0,0,0,0
Beets (1/2 cup roasted) (70% portion) (80% portion),Vegetable,16.8,0.44799999999999995,3.808,0.05599999999999992,0.784,3.2479999999999998,28.0,0.0,Lunch,0.0,1,1,1,1
Horchata (1 cup) (130% portion) (120% portion),Beverage,218.4,3.12,39.0,4.68,1.56,34.32,46.8,7.8,Snack,312.0,0,1,1,0
Chicken Wrap (with tortilla) (120% portion),Meal/Processed,492.0,30.0,45.6,20.4,6.0,3.5999999999999996,936.0,72.0,Lunch,250.0,0,0,0,0
Cashews (1 oz roasted) (120% portion),Nut,195.6,5.159999999999999,11.04,15.719999999999999,1.08,1.68,168.0,0.0,Snack,0.0,1,0,1,0
Beef Tacos (2 hard shell) (150% portion),Meal/Meat,570.0,27.0,42.0,33.0,7.5,4.5,900.0,75.0,Dinner,500.0,1,0,0,0
Burger (cheeseburger) (50% portion) (80% portion),Meal/Processed,220.0,12.0,16.0,12.0,1.2000000000000002,2.8000000000000003,440.0,36.0,Dinner,250.0,1,0,0,0
Saltimbocca (1 serving) (120% portion),Meal/Meat,456.0,45.6,6.0,26.4,0.6,1.2,1020.0,144.0,Dinner,0.0,1,0,0,0
Aji Amarillo Paste (1 tsp) (70% portion) (70% portion),Condiment,2.4499999999999997,0.048999999999999926,0.48999999999999994,0.0,0.24499999999999997,0.24499999999999997,24.5,0.0,Dinner,0.0,1,1,1,1
Bison Burger (1 patty) (70% portion),Protein/Meat,105.0,15.399999999999999,0.0,4.8999999999999995,0.0,0.0,45.5,49.0,Lunch,250.0,1,0,0,0
Whole Wheat Toast (1 slice) (150% portion),Grain,120.0,6.0,21.0,1.5,3.0,3.0,210.0,0.0,Breakfast,0.0,1,0,1,1
Spicy Mustard (1 tbsp) (80% portion),Condiment,8.0,0.4,0.8,0.4,0.4,0.0,96.0,0.0,Lunch,0.0,1,1,1,1
Polenta (grilled 1 slice) (80% portion),Meal/Grain,96.0,2.0,20.0,0.8,1.6,0.4,240.0,0.0,Dinner,0.0,1,0,0,1
Brown Rice (1 cup cooked) (80% portion),Grain,172.0,4.0,36.0,1.4400000000000002,2.8000000000000003,0.32000000000000006,8.0,0.0,Lunch,0.0,0,1,1,1
Pepperoncini (2 peppers) (130% portion) (120% portion),Vegetable,15.6,0.78,3.12,0.0,1.56,1.56,546.0,0.0,Lunch,0.0,1,0,0,1
Chorizo (1 oz in paella) (70% portion) (80% portion),Protein/Meat,72.8,3.3599999999999994,0.5599999999999999,6.16,0.0,0.27999999999999997,196.0,16.8,Dinner,0.0,1,0,0,0
Olive Oil (1 tsp garnish) (80% portion),Condiment,32.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Marshmallow (1 large) (130% portion) (120% portion),Dessert,35.879999999999995,0.156,9.048,0.0,0.0,6.24,7.8,0.0,Snack,0.0,0,1,1,1
Celery (1 stalk) (120% portion),Vegetable,7.199999999999999,0.36,1.44,0.12,0.72,0.6,38.4,0.0,Lunch,0.0,1,1,1,1
Sausage Link (1 cooked) (70% portion) (80% portion),Protein/Meat,47.599999999999994,2.8000000000000003,0.5599999999999999,3.9200000000000004,0.0,0.27999999999999997,168.0,11.200000000000001,Breakfast,0.0,1,0,0,1
Panettone (1 slice) (120% portion),Dessert,384.0,7.199999999999999,60.0,14.399999999999999,3.5999999999999996,30.0,240.0,84.0,Snack,0.0,0,0,0,0
Figs (2 medium) (150% portion),Fruit,111.0,0.8999999999999999,28.799999999999997,0.44999999999999996,4.35,24.299999999999997,3.0,0.0,Snack,0.0,0,1,1,0
Breadstick (1 large) (120% portion),Grain,192.0,4.8,33.6,3.5999999999999996,1.2,2.4,420.0,0.0,Dinner,0.0,1,0,0,1
Potato Chips (1 oz) (70% portion) (150% portion),Snack/Processed,168.0,2.0999999999999996,15.75,10.5,1.0499999999999998,0.5249999999999999,178.5,0.0,Snack,0.0,1,1,1,0
Chicken Salad Sandwich (130% portion) (150% portion),Meal/Processed,819.0,39.0,68.25,39.0,5.85,9.75,1657.5,117.0,Lunch,325.0,0,0,0,0
Black Pepper (1 tsp) (80% portion),Condiment,4.800000000000001,0.16000000000000003,1.2000000000000002,0.08000000000000002,0.48,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Pistachios (1 oz shelled) (70% portion) (120% portion),Nut,133.56,4.788,6.467999999999999,10.751999999999999,2.52,1.8479999999999999,1.68,0.0,Snack,0.0,1,1,1,0
Fried Pita (1/2 pita in salad) (150% portion) (80% portion),Grain,96.0,2.4000000000000004,14.4,3.6,1.2000000000000002,0.6000000000000001,180.0,0.0,Lunch,0.0,1,0,0,1
Chocolate Pudding (1/2 cup) (120% portion),Dessert,180.0,2.4,33.6,4.8,2.4,26.4,156.0,2.4,Snack,0.0,0,1,1,0
Pickled Radish (1/4 cup) (80% portion),Vegetable,12.0,0.4,2.4000000000000004,0.0,0.8,1.6,200.0,0.0,Breakfast,0.0,1,0,0,1
Walnuts (1 tbsp chopped) (80% portion),Nut,36.800000000000004,0.8800000000000001,0.8,3.6799999999999997,0.4,0.16000000000000003,0.0,0.0,Lunch,0.0,1,1,1,1
Sweet Chili Sauce (2 tbsp) (70% portion) (150% portion),Condiment,73.5,0.0,17.85,0.0,0.5249999999999999,16.799999999999997,472.5,0.0,Dinner,0.0,0,0,0,0
Sweet Chili Sauce (2 tbsp) (70% portion),Condiment,49.0,0.0,11.899999999999999,0.0,0.35,11.2,315.0,0.0,Dinner,0.0,0,0,0,0
White Wine Sauce (1/4 cup) (70% portion) (70% portion),Condiment,39.199999999999996,0.48999999999999994,1.9599999999999997,2.9399999999999995,0.24499999999999997,0.9799999999999999,147.0,2.4499999999999997,Dinner,0.0,1,0,0,1
Ants on a Log (4 pcs) (150% portion),Snack,270.0,9.0,18.0,18.0,4.5,10.5,180.0,0.0,Snack,250.0,0,1,1,0
Pickled Radish (1/4 cup) (150% portion) (70% portion),Vegetable,15.749999999999998,0.5249999999999999,3.15,0.0,1.0499999999999998,2.0999999999999996,262.5,0.0,Breakfast,0.0,1,0,0,1
Panettone (1 slice) (70% portion) (150% portion),Dessert,336.0,6.299999999999999,52.5,12.599999999999998,3.1500000000000004,26.25,210.0,73.5,Snack,0.0,0,0,1,0
Lime Wedge (garnish) (50% portion) (70% portion),Condiment,1.0499999999999998,0.034999999999999996,0.35,0.0,0.105,0.06999999999999999,0.0,0.0,Dinner,0.0,1,1,1,1
S'more (1 serving) (120% portion),Dessert,168.0,2.4,30.0,4.8,1.2,18.0,108.0,0.0,Snack,0.0,0,1,1,0
Mignonette Sauce (1 tbsp) (70% portion) (150% portion),Condiment,5.25,0.0,1.0499999999999998,0.0,0.0,0.5249999999999999,31.5,0.0,Dinner,0.0,1,1,1,1
Sausage Link (1 cooked) (80% portion),Protein/Meat,68.0,4.0,0.8,5.6000000000000005,0.0,0.4,240.0,16.0,Breakfast,0.0,1,0,0,0
Candied Fruit (1 tbsp) (150% portion) (80% portion),Fruit,36.0,0.0,9.600000000000001,0.0,0.6000000000000001,9.600000000000001,6.0,0.0,Snack,0.0,0,1,1,0
Salami (3 slices) (50% portion) (80% portion),Protein/Processed,44.0,2.4000000000000004,0.4,3.6,0.0,0.2,200.0,12.0,Lunch,0.0,1,0,0,1
Tuna (Canned 3oz in water) (80% portion),Protein/Fish,72.0,16.0,0.0,0.8,0.0,0.0,200.0,28.0,Lunch,0.0,1,0,0,1
Negroni (1 drink) (130% portion) (120% portion),Beverage,296.4,0.0,23.4,0.0,0.0,23.4,7.8,0.0,Snack,117.0,0,1,1,0
Oat Milk (1 cup) (80% portion),Beverage/Dairy-Alt,96.0,2.4000000000000004,12.8,4.0,1.6,5.6000000000000005,80.0,0.0,Breakfast,0.0,0,1,1,0
Salsa (2 tbsp) (120% portion),Condiment,12.0,0.6,2.4,0.0,0.6,1.2,144.0,0.0,Lunch,0.0,1,1,1,1
Alfajores (1 cookie) (120% portion),Dessert,216.0,2.4,26.4,12.0,1.2,18.0,72.0,24.0,Snack,0.0,0,0,1,0
Black Beans (1/2 cup) (150% portion),Legume,171.0,11.399999999999999,30.599999999999998,0.75,11.25,0.44999999999999996,1.5,0.0,Lunch,0.0,1,1,1,1
Grits (1 cup cooked) (70% portion),Grain,105.0,2.0999999999999996,22.4,0.7,1.4,0.35,224.0,0.0,Breakfast,0.0,0,0,0,1
